name,fileName,emotion,episode
100years,cropped_82,sad,epi30
100years,cropped_83,sad,epi30
100years,cropped_84,sad,epi30
100years,cropped_85,None,epi30
100years,cropped_86,sad,epi30
100years,cropped_87,sad,epi30
100years,cropped_88,fear,epi30
100years,cropped_89,None,epi30
100years,cropped_9,fear,epi30
100years,cropped_90,fear,epi30
100years,cropped_91,fear,epi30
100years,cropped_92,sad,epi30
100years,cropped_93,happy,epi30
100years,cropped_94,sad,epi30
100years,cropped_95,None,epi30
100years,cropped_96,sad,epi30
100years,cropped_97,happy,epi30
100years,cropped_98,happy,epi30
100years,cropped_99,sad,epi30
100years,cropped_1,None,epi39
100years,cropped_10,sad,epi39
100years,cropped_100,happy,epi39
100years,cropped_11,sad,epi39
100years,cropped_12,happy,epi39
100years,cropped_13,sad,epi39
100years,cropped_14,sad,epi39
100years,cropped_15,None,epi39
100years,cropped_16,fear,epi39
100years,cropped_17,sad,epi39
100years,cropped_18,sad,epi39
100years,cropped_19,None,epi39
100years,cropped_2,None,epi39
100years,cropped_20,sad,epi39
100years,cropped_21,sad,epi39
100years,cropped_22,sad,epi39
100years,cropped_23,sad,epi39
100years,cropped_24,happy,epi39
100years,cropped_25,None,epi39
100years,cropped_26,sad,epi39
100years,cropped_27,sad,epi39
100years,cropped_28,fear,epi39
100years,cropped_29,sad,epi39
100years,cropped_3,sad,epi39
100years,cropped_30,fear,epi39
100years,cropped_31,sad,epi39
100years,cropped_32,happy,epi39
100years,cropped_33,sad,epi39
100years,cropped_34,angry,epi39
100years,cropped_35,angry,epi39
100years,cropped_36,happy,epi39
100years,cropped_37,sad,epi39
100years,cropped_38,sad,epi39
100years,cropped_39,sad,epi39
100years,cropped_4,None,epi39
100years,cropped_40,sad,epi39
100years,cropped_41,None,epi39
100years,cropped_42,None,epi39
100years,cropped_43,sad,epi39
100years,cropped_44,sad,epi39
100years,cropped_45,fear,epi39
100years,cropped_46,sad,epi39
100years,cropped_47,happy,epi39
100years,cropped_48,sad,epi39
100years,cropped_49,surprise,epi39
100years,cropped_5,sad,epi39
100years,cropped_50,sad,epi39
100years,cropped_51,happy,epi39
100years,cropped_52,surprise,epi39
100years,cropped_53,angry,epi39
100years,cropped_54,sad,epi39
100years,cropped_55,None,epi39
100years,cropped_56,sad,epi39
100years,cropped_57,sad,epi39
100years,cropped_58,sad,epi39
100years,cropped_59,None,epi39
100years,cropped_6,happy,epi39
100years,cropped_60,sad,epi39
100years,cropped_61,fear,epi39
100years,cropped_62,fear,epi39
100years,cropped_63,surprise,epi39
100years,cropped_64,happy,epi39
100years,cropped_65,sad,epi39
100years,cropped_66,sad,epi39
100years,cropped_67,disgust,epi39
100years,cropped_68,None,epi39
100years,cropped_69,happy,epi39
100years,cropped_7,None,epi39
100years,cropped_70,fear,epi39
100years,cropped_71,fear,epi39
100years,cropped_72,None,epi39
100years,cropped_73,sad,epi39
100years,cropped_74,happy,epi39
100years,cropped_75,None,epi39
100years,cropped_76,fear,epi39
100years,cropped_77,fear,epi39
100years,cropped_78,happy,epi39
100years,cropped_79,sad,epi39
100years,cropped_8,happy,epi39
100years,cropped_80,fear,epi39
100years,cropped_81,fear,epi39
100years,cropped_82,sad,epi39
100years,cropped_83,fear,epi39
100years,cropped_84,fear,epi39
100years,cropped_85,fear,epi39
100years,cropped_86,fear,epi39
100years,cropped_87,fear,epi39
100years,cropped_88,sad,epi39
100years,cropped_89,sad,epi39
100years,cropped_9,happy,epi39
100years,cropped_90,sad,epi39
100years,cropped_91,None,epi39
100years,cropped_92,sad,epi39
100years,cropped_93,fear,epi39
100years,cropped_94,surprise,epi39
100years,cropped_95,angry,epi39
100years,cropped_96,sad,epi39
100years,cropped_97,sad,epi39
100years,cropped_98,sad,epi39
100years,cropped_99,happy,epi39
100years,cropped_1,fear,epi7
100years,cropped_10,sad,epi7
100years,cropped_100,sad,epi7
100years,cropped_11,sad,epi7
100years,cropped_12,sad,epi7
100years,cropped_13,sad,epi7
100years,cropped_14,angry,epi7
100years,cropped_15,sad,epi7
100years,cropped_16,None,epi7
100years,cropped_17,None,epi7
100years,cropped_18,sad,epi7
100years,cropped_19,sad,epi7
100years,cropped_2,angry,epi7
100years,cropped_20,fear,epi7
100years,cropped_21,fear,epi7
100years,cropped_22,sad,epi7
100years,cropped_23,fear,epi7
100years,cropped_24,sad,epi7
100years,cropped_25,None,epi7
100years,cropped_26,None,epi7
100years,cropped_27,None,epi7
100years,cropped_28,sad,epi7
100years,cropped_29,angry,epi7
100years,cropped_3,angry,epi7
100years,cropped_30,sad,epi7
100years,cropped_31,fear,epi7
100years,cropped_32,fear,epi7
100years,cropped_33,fear,epi7
100years,cropped_34,sad,epi7
100years,cropped_35,sad,epi7
100years,cropped_36,sad,epi7
100years,cropped_37,angry,epi7
100years,cropped_38,sad,epi7
100years,cropped_39,None,epi7
100years,cropped_4,None,epi7
100years,cropped_40,happy,epi7
100years,cropped_41,happy,epi7
100years,cropped_42,sad,epi7
100years,cropped_43,None,epi7
100years,cropped_44,None,epi7
100years,cropped_45,None,epi7
100years,cropped_46,happy,epi7
100years,cropped_47,sad,epi7
100years,cropped_48,sad,epi7
100years,cropped_49,happy,epi7
100years,cropped_5,sad,epi7
100years,cropped_50,sad,epi7
100years,cropped_51,happy,epi7
